Id,Time[ns],Acorn POST: Text
1,695647550.00,ROM   :
2,1436184500.00,VRAM  :
3,1503735950.00,01 MByte
4,1574967750.00,Data  :
5,1645877300.00,Addrs :
6,1716634250.00,Byte  :
7,1787290850.00,DRAM 0:
8,1854826950.00,00 MByte
9,1926060800.00,Data  :
10,1996815300.00,Data-FFFFFFFFF
11,2072493850.00,DRAM 1:
12,2140029100.00,00 MByte
13,2211262800.00,Data  :
14,2282017250.00,Data-FFFFFFFFF
15,2357695750.00,DRAM 2:
16,2425230900.00,00 MByte
17,2496464600.00,Data  :
18,2567218950.00,Data-F2F05FFFF
19,2642897400.00,DRAM 3:
20,2710432500.00,00 MByte
21,2781664000.00,Data  :
22,2852418450.00,Data-F0D05FFFF
23,2928094750.00,DRAM
24,2993725150.00,Failed
25,3063691200.00,IOMD  :
26,3134458500.00,IOMD  :
27,3201986700.00,D4E7 V.3
28,3273234100.00,SRAM  :
29,3345046450.00,SRAM-F
30,3415014750.00,IOinit:
31,3485611800.00,Speed :
32,3556212350.00,Speed3E80.1.0
33,3631251350.00,RAM   :
