Id,Time[ns],Parallel: Items
318,915667600.00,03
319,915668100.00,03
320,915669700.00,03
321,915670200.00,03
322,915671800.00,03
323,915672300.00,03
324,915673900.00,03
325,915674400.00,03
326,915676000.00,03
327,915676500.00,03
328,915678100.00,03
329,915678600.00,03
330,915680200.00,03
331,915680700.00,03
332,915682250.00,03
333,915682750.00,03
334,915684350.00,03
335,915684850.00,03
336,915686450.00,03
337,915686950.00,03
338,915688550.00,03
339,915689050.00,03
340,915690600.00,03
341,915691100.00,03
342,915692700.00,03
343,915693200.00,03
344,915694800.00,03
345,915695300.00,03
346,915696900.00,03
347,915697400.00,03
348,915699000.00,03
349,915699500.00,03
350,915701100.00,03
351,915701600.00,03
352,915703200.00,03
353,915703700.00,03
354,915705300.00,03
355,915705800.00,03
356,915707400.00,03
357,915707900.00,03
358,915709500.00,03
359,915710000.00,03
360,915711600.00,03
361,915712100.00,03
362,915713650.00,03
363,915714150.00,03
364,915715750.00,03
365,915716250.00,03
366,915717850.00,03
367,915718350.00,03
368,915719950.00,03
369,915720450.00,03
370,915722000.00,03
371,915722500.00,03
372,915724100.00,03
373,915724600.00,03
374,915726200.00,03
375,915726700.00,03
376,915728300.00,03
377,915728800.00,03
378,915730400.00,03
379,915730900.00,03
380,915732500.00,03
381,915733000.00,03
382,915734600.00,03
383,915735100.00,03
384,915736700.00,03
385,915737200.00,03
386,915738800.00,03
387,915739300.00,03
388,915740900.00,03
389,915741400.00,03
390,915743000.00,03
391,915743500.00,03
392,915745050.00,03
393,915745550.00,03
394,915747150.00,03
395,915747650.00,03
396,915749250.00,03
397,915749750.00,03
398,915751350.00,03
399,915751850.00,03
400,915753400.00,03
401,915753900.00,03
402,915755500.00,03
403,915756000.00,03
404,915757600.00,03
405,915758100.00,03
406,915759700.00,03
407,915760200.00,03
408,915761800.00,03
409,915762300.00,03
410,915763900.00,03
411,915764400.00,03
412,915766000.00,03
413,915766500.00,03
414,915768100.00,03
415,915768600.00,03
416,915770200.00,03
417,915770700.00,03
418,915772300.00,03
419,915772800.00,03
420,915774400.00,03
421,915774900.00,03
422,915776450.00,03
423,915776950.00,03
424,915778550.00,03
425,915779050.00,03
426,915780650.00,03
427,915781150.00,03
428,915782750.00,03
