Id,Time[ns],1:I²C: Address/Data
220,3987917500.00,ACK
221,3988032500.00,Data read: 00
222,3988672500.00,ACK
223,3988787500.00,Data read: 00
224,3989427500.00,ACK
225,3989542500.00,Data read: 00
226,3990182500.00,ACK
227,3990297500.00,Data read: 00
228,3990940000.00,ACK
229,3991052500.00,Data read: 00
230,3991695000.00,ACK
231,3991807500.00,Data read: 00
232,3992450000.00,ACK
233,3992562500.00,Data read: 00
234,3993205000.00,ACK
235,3993317500.00,Data read: 00
236,3993960000.00,ACK
237,3994072500.00,Data read: 00
238,3994715000.00,ACK
239,3994827500.00,Data read: 00
240,3995470000.00,ACK
241,3995582500.00,Data read: 00
242,3996225000.00,ACK
243,3996337500.00,Data read: 00
244,3996980000.00,ACK
245,3997092500.00,Data read: 00
246,3997735000.00,ACK
247,3997850000.00,Data read: 00
248,3998492500.00,ACK
249,3998605000.00,Data read: 00
250,3999245000.00,ACK
251,3999360000.00,Data read: 00
252,4000002500.00,ACK
253,4000115000.00,Data read: 00
254,4000757500.00,ACK
255,4000870000.00,Data read: 00
256,4001512500.00,ACK
257,4001625000.00,Data read: 00
258,4002267500.00,ACK
259,4002380000.00,Data read: 00
260,4003022500.00,ACK
261,4003135000.00,Data read: 00
262,4003777500.00,ACK
263,4003890000.00,Data read: 00
264,4004532500.00,ACK
265,4004645000.00,Data read: 00
266,4005287500.00,ACK
267,4005400000.00,Data read: 60
268,4006042500.00,ACK
269,4006155000.00,Data read: 13
270,4006797500.00,ACK
271,4006912500.00,Data read: 00
272,4007555000.00,ACK
273,4007667500.00,Data read: 00
274,4008307500.00,ACK
275,4008422500.00,Data read: A4
276,4009065000.00,ACK
277,4009177500.00,Data read: FD
278,4009820000.00,ACK
279,4009932500.00,Data read: 10
280,4010575000.00,ACK
281,4010687500.00,Data read: 41
282,4011330000.00,ACK
283,4011442500.00,Data read: FF
284,4012085000.00,ACK
285,4012197500.00,Data read: 01
286,4012840000.00,ACK
287,4012952500.00,Data read: 60
288,4013595000.00,ACK
289,4013707500.00,Data read: 00
290,4014350000.00,ACK
291,4014465000.00,Data read: 11
292,4015105000.00,ACK
293,4015220000.00,Data read: 00
294,4015860000.00,ACK
295,4015972500.00,Data read: 00
296,4016615000.00,ACK
297,4016730000.00,Data read: 00
298,4017372500.00,ACK
299,4017485000.00,Data read: 00
300,4018127500.00,ACK
301,4018240000.00,Data read: 00
302,4018882500.00,ACK
303,4018995000.00,Data read: 00
304,4019637500.00,ACK
305,4019750000.00,Data read: 00
306,4020392500.00,ACK
307,4020505000.00,Data read: F0
308,4021147500.00,ACK
309,4021260000.00,Data read: 00
310,4021902500.00,ACK
311,4022015000.00,Data read: 00
312,4022657500.00,ACK
313,4022770000.00,Data read: 00
314,4023412500.00,ACK
315,4023525000.00,Data read: 00
316,4024167500.00,ACK
317,4024282500.00,Data read: 00
318,4024922500.00,ACK
319,4025037500.00,Data read: 00
320,4025677500.00,ACK
321,4025792500.00,Data read: 00
322,4026435000.00,ACK
323,4026547500.00,Data read: 00
324,4027190000.00,ACK
325,4027302500.00,Data read: 00
