Id,Time[ns],Parallel: Items
1,383550.00,02
2,384550.00,02
3,385550.00,01
4,386550.00,00
5,387550.00,00
6,388550.00,00
7,389550.00,7F
8,390550.00,00
9,391550.00,00
10,392550.00,00
11,393550.00,F8
12,394550.00,6A
13,395550.00,EA
14,396550.00,74
15,397550.00,34
16,398550.00,CA
17,399550.00,F3
18,400550.00,37
19,401550.00,02
20,402550.00,15
21,403550.00,25
22,404550.00,24
23,405550.00,35
24,406550.00,25
25,407550.00,25
26,408550.00,03
27,409550.00,85
28,410550.00,00
29,412050.00,25
