Id,Time[ns],1:I²C: Address/Data
229,16249942500.00,ACK
230,16249977500.00,Data read: 00
231,16250172500.00,ACK
232,16250205000.00,Data read: 00
233,16250400000.00,ACK
234,16250435000.00,Data read: 00
235,16250627500.00,ACK
236,16250662500.00,Data read: 00
237,16250857500.00,ACK
238,16250890000.00,Data read: 00
239,16251085000.00,ACK
240,16251120000.00,Data read: 03
241,16251312500.00,ACK
242,16251347500.00,Data read: 00
243,16251542500.00,ACK
244,16251575000.00,Data read: 00
245,16251770000.00,ACK
246,16251805000.00,Data read: 00
247,16251997500.00,ACK
248,16252032500.00,Data read: 00
249,16252227500.00,ACK
250,16252260000.00,Data read: 00
251,16252455000.00,ACK
252,16252490000.00,Data read: 00
253,16252685000.00,ACK
254,16252717500.00,Data read: 00
255,16252912500.00,ACK
256,16252945000.00,Data read: 00
257,16253140000.00,ACK
258,16253175000.00,Data read: 00
259,16253367500.00,ACK
260,16253402500.00,Data read: 00
261,16253597500.00,ACK
262,16253630000.00,Data read: 00
263,16253825000.00,ACK
264,16253860000.00,Data read: 00
265,16254052500.00,ACK
266,16254087500.00,Data read: 00
267,16254282500.00,ACK
268,16254315000.00,Data read: 00
269,16254510000.00,ACK
270,16254545000.00,Data read: 00
271,16254740000.00,ACK
272,16254772500.00,Data read: 00
273,16254967500.00,ACK
274,16255000000.00,Data read: 00
275,16255195000.00,ACK
276,16255230000.00,Data read: 00
277,16255425000.00,ACK
278,16255457500.00,Data read: 00
279,16255652500.00,ACK
280,16255687500.00,Data read: 00
281,16255880000.00,ACK
282,16255915000.00,Data read: 00
283,16256110000.00,ACK
284,16256142500.00,Data read: 00
285,16256337500.00,ACK
286,16256370000.00,Data read: 00
287,16256565000.00,ACK
288,16256600000.00,Data read: 00
289,16256795000.00,ACK
290,16256827500.00,Data read: 00
291,16257022500.00,ACK
292,16257057500.00,Data read: 00
293,16257250000.00,ACK
294,16257285000.00,Data read: 00
295,16257480000.00,ACK
296,16257512500.00,Data read: 00
297,16257707500.00,ACK
298,16257742500.00,Data read: 00
299,16257937500.00,ACK
300,16257970000.00,Data read: 00
301,16258165000.00,ACK
302,16258197500.00,Data read: 00
303,16258392500.00,ACK
304,16258427500.00,Data read: 00
305,16258620000.00,ACK
306,16258655000.00,Data read: 00
307,16258850000.00,ACK
308,16258882500.00,Data read: 00
309,16259077500.00,ACK
310,16259112500.00,Data read: 00
311,16259305000.00,ACK
312,16259340000.00,Data read: 00
313,16259535000.00,ACK
314,16259567500.00,Data read: 00
315,16259762500.00,ACK
316,16259797500.00,Data read: 00
