Id,Time[ns],Parallel: Items
1,382000.00,02
2,383000.00,02
3,384000.00,01
4,385000.00,00
5,386000.00,00
6,387000.00,00
7,388000.00,7F
8,389000.00,00
9,390000.00,00
10,391000.00,00
11,392000.00,F8
12,393000.00,6A
13,394000.00,EA
14,395000.00,74
15,396000.00,34
16,397000.00,CA
17,398000.00,F3
18,399000.00,37
19,400000.00,02
20,401000.00,15
21,402000.00,25
22,403000.00,24
23,404000.00,35
24,405000.00,25
25,406000.00,25
26,407000.00,03
27,408000.00,85
28,409000.00,00
29,410450.00,C0
