Id,Time[ns],1:I²C: Address/Data
220,2814945000.00,ACK
221,2815057500.00,Data read: 00
222,2815700000.00,ACK
223,2815812500.00,Data read: 00
224,2816455000.00,ACK
225,2816567500.00,Data read: 00
226,2817210000.00,ACK
227,2817325000.00,Data read: 00
228,2817967500.00,ACK
229,2818080000.00,Data read: 00
230,2818720000.00,ACK
231,2818835000.00,Data read: 00
232,2819477500.00,ACK
233,2819590000.00,Data read: 00
234,2820232500.00,ACK
235,2820345000.00,Data read: 00
236,2820987500.00,ACK
237,2821100000.00,Data read: 00
238,2821742500.00,ACK
239,2821855000.00,Data read: 00
240,2822497500.00,ACK
241,2822610000.00,Data read: 00
242,2823252500.00,ACK
243,2823365000.00,Data read: 00
244,2824007500.00,ACK
245,2824120000.00,Data read: 00
246,2824762500.00,ACK
247,2824875000.00,Data read: 00
248,2825517500.00,ACK
249,2825630000.00,Data read: 00
250,2826272500.00,ACK
251,2826387500.00,Data read: 00
252,2827030000.00,ACK
253,2827142500.00,Data read: 00
254,2827782500.00,ACK
255,2827897500.00,Data read: 00
256,2828540000.00,ACK
257,2828652500.00,Data read: 00
258,2829295000.00,ACK
259,2829407500.00,Data read: 00
260,2830050000.00,ACK
261,2830162500.00,Data read: 00
262,2830805000.00,ACK
263,2830917500.00,Data read: 00
264,2831560000.00,ACK
265,2831672500.00,Data read: 00
266,2832315000.00,ACK
267,2832427500.00,Data read: 60
268,2833070000.00,ACK
269,2833182500.00,Data read: 13
270,2833825000.00,ACK
271,2833937500.00,Data read: 00
272,2834580000.00,ACK
273,2834695000.00,Data read: 00
274,2835335000.00,ACK
275,2835447500.00,Data read: A4
276,2836090000.00,ACK
277,2836205000.00,Data read: FD
278,2836847500.00,ACK
279,2836960000.00,Data read: 10
280,2837602500.00,ACK
281,2837715000.00,Data read: 41
282,2838357500.00,ACK
283,2838470000.00,Data read: FF
284,2839112500.00,ACK
285,2839225000.00,Data read: 01
286,2839867500.00,ACK
287,2839980000.00,Data read: 60
288,2840622500.00,ACK
289,2840735000.00,Data read: 00
290,2841377500.00,ACK
291,2841490000.00,Data read: 11
292,2842132500.00,ACK
293,2842245000.00,Data read: 00
294,2842887500.00,ACK
295,2843000000.00,Data read: 00
296,2843642500.00,ACK
297,2843757500.00,Data read: 00
298,2844397500.00,ACK
299,2844512500.00,Data read: 00
300,2845152500.00,ACK
301,2845267500.00,Data read: 00
302,2845910000.00,ACK
303,2846022500.00,Data read: 00
304,2846665000.00,ACK
305,2846777500.00,Data read: 00
306,2847420000.00,ACK
307,2847532500.00,Data read: F0
308,2848175000.00,ACK
309,2848287500.00,Data read: 00
310,2848930000.00,ACK
311,2849042500.00,Data read: 00
312,2849685000.00,ACK
313,2849797500.00,Data read: 00
314,2850440000.00,ACK
315,2850552500.00,Data read: 00
316,2851195000.00,ACK
317,2851307500.00,Data read: 00
318,2851950000.00,ACK
319,2852062500.00,Data read: 00
320,2852705000.00,ACK
321,2852820000.00,Data read: 00
322,2853462500.00,ACK
323,2853575000.00,Data read: 00
324,2854215000.00,ACK
325,2854330000.00,Data read: 00
326,2854970000.00,ACK
327,2855085000.00,Data read: 00
328,2855727500.00,ACK
329,2855840000.00,Data read: 00
330,2856482500.00,ACK
331,2856595000.00,Data read: 00
332,2857237500.00,ACK
333,2857350000.00,Data read: 00
334,2857992500.00,ACK
335,2858105000.00,Data read: 00
336,2858747500.00,ACK
337,2858860000.00,Data read: 00
338,2859502500.00,ACK
339,2859615000.00,Data read: 00
340,2860257500.00,ACK
341,2860370000.00,Data read: 00
342,2861012500.00,ACK
343,2861125000.00,Data read: 00
344,2861767500.00,ACK
345,2861880000.00,Data read: 00
346,2862522500.00,ACK
347,2862637500.00,Data read: 00
348,2863280000.00,ACK
349,2863392500.00,Data read: 00
350,2864035000.00,ACK
351,2864147500.00,Data read: 00
352,2864790000.00,ACK
353,2864902500.00,Data read: 00
354,2865545000.00,ACK
355,2865657500.00,Data read: 00
356,2866300000.00,ACK
357,2866412500.00,Data read: 00
358,2867055000.00,ACK
359,2867167500.00,Data read: 00
360,2867810000.00,ACK
361,2867922500.00,Data read: 00
362,2868565000.00,ACK
363,2868677500.00,Data read: 00
364,2869320000.00,ACK
365,2869432500.00,Data read: 00
366,2870075000.00,ACK
367,2870187500.00,Data read: 00
368,2870830000.00,ACK
369,2870942500.00,Data read: 00
370,2871585000.00,ACK
371,2871700000.00,Data read: 00
372,2872342500.00,ACK
373,2872455000.00,Data read: 00
374,2873095000.00,ACK
375,2873210000.00,Data read: 00
376,2873852500.00,ACK
377,2873965000.00,Data read: 00
378,2874607500.00,ACK
379,2874720000.00,Data read: 00
380,2875362500.00,ACK
381,2875475000.00,Data read: 0A
382,2876117500.00,ACK
383,2876230000.00,Data read: 01
384,2876872500.00,ACK
385,2876985000.00,Data read: 00
386,2877627500.00,ACK
387,2877740000.00,Data read: 00
388,2878382500.00,ACK
389,2878495000.00,Data read: 00
390,2879137500.00,ACK
391,2879252500.00,Data read: 00
392,2879892500.00,ACK
393,2880007500.00,Data read: 00
394,2880647500.00,NACK
395,2880760000.00,Stop
396,2880840000.00,Start
397,2880955000.00,Address write: A0
398,2881745000.00,Write
399,2881857500.00,ACK
400,2881975000.00,Data write: 10
401,2882875000.00,ACK
402,2882990000.00,Start repeat
403,2883105000.00,Address read: A1
404,2883892500.00,Read
405,2884005000.00,ACK
406,2884120000.00,Data read: 00
407,2884762500.00,ACK
408,2884875000.00,Data read: 76
409,2885517500.00,ACK
410,2885630000.00,Data read: 02
411,2886272500.00,ACK
412,2886385000.00,Data read: 51
413,2887027500.00,ACK
414,2887140000.00,Data read: 00
415,2887782500.00,ACK
416,2887895000.00,Data read: 6F
417,2888537500.00,ACK
418,2888652500.00,Data read: 40
419,2889295000.00,ACK
420,2889407500.00,Data read: 00
421,2890050000.00,ACK
422,2890162500.00,Data read: 00
423,2890805000.00,ACK
424,2890917500.00,Data read: 00
425,2891560000.00,ACK
426,2891672500.00,Data read: 2C
427,2892315000.00,ACK
428,2892427500.00,Data read: 38
429,2893070000.00,ACK
430,2893182500.00,Data read: 00
431,2893825000.00,ACK
432,2893937500.00,Data read: 00
433,2894580000.00,ACK
434,2894692500.00,Data read: 00
435,2895335000.00,ACK
436,2895447500.00,Data read: 00
437,2896090000.00,ACK
438,2896202500.00,Data read: 00
439,2896845000.00,ACK
440,2896960000.00,Data read: 00
441,2897600000.00,ACK
442,2897715000.00,Data read: 00
443,2898355000.00,ACK
444,2898470000.00,Data read: 00
445,2899110000.00,ACK
446,2899225000.00,Data read: 00
447,2899867500.00,ACK
448,2899980000.00,Data read: 00
449,2900620000.00,ACK
450,2900735000.00,Data read: 00
451,2901375000.00,ACK
452,2901490000.00,Data read: 00
453,2902132500.00,ACK
454,2902245000.00,Data read: 00
455,2902887500.00,ACK
456,2903000000.00,Data read: 00
457,2903642500.00,ACK
458,2903755000.00,Data read: 00
459,2904397500.00,ACK
460,2904510000.00,Data read: 00
461,2905152500.00,ACK
462,2905265000.00,Data read: 10
463,2905907500.00,ACK
464,2906022500.00,Data read: 00
465,2906662500.00,ACK
466,2906775000.00,Data read: 00
467,2907417500.00,ACK
468,2907530000.00,Data read: 00
469,2908172500.00,ACK
470,2908285000.00,Data read: 00
471,2908927500.00,ACK
472,2909040000.00,Data read: 00
473,2909685000.00,ACK
474,2909797500.00,Data read: 00
475,2910440000.00,ACK
476,2910552500.00,Data read: 00
477,2911195000.00,ACK
478,2911307500.00,Data read: 00
479,2911950000.00,ACK
480,2912062500.00,Data read: 00
481,2912705000.00,ACK
482,2912817500.00,Data read: 00
483,2913460000.00,ACK
484,2913572500.00,Data read: 00
485,2914215000.00,ACK
486,2914327500.00,Data read: 00
487,2914970000.00,ACK
488,2915082500.00,Data read: 00
489,2915725000.00,ACK
490,2915837500.00,Data read: 00
491,2916480000.00,ACK
492,2916592500.00,Data read: 00
493,2917237500.00,ACK
494,2917350000.00,Data read: 00
495,2917990000.00,ACK
496,2918105000.00,Data read: 00
497,2918747500.00,ACK
498,2918860000.00,Data read: EA
499,2919502500.00,NACK
500,2919612500.00,Stop
501,2919695000.00,Start
502,2919810000.00,Address write: A0
503,2920600000.00,Write
504,2920712500.00,ACK
505,2920827500.00,Data write: 3F
506,2921730000.00,ACK
507,2921845000.00,Start repeat
508,2921960000.00,Address read: A1
509,2922747500.00,Read
510,2922860000.00,ACK
511,2922975000.00,Data read: F0
512,2923617500.00,NACK
513,2923727500.00,Stop
514,2923810000.00,Start
515,2923925000.00,Address write: A0
516,2924715000.00,Write
517,2924827500.00,ACK
518,2924945000.00,Data write: FC
519,2925845000.00,ACK
520,2925960000.00,Start repeat
521,2926075000.00,Address read: A1
522,2926865000.00,Read
523,2926977500.00,ACK
524,2927092500.00,Data read: 00
525,2927735000.00,NACK
526,2927845000.00,Stop
527,4308212500.00,Start
528,4308260000.00,Stop
529,4308282500.00,Start
530,4308327500.00,Stop
531,4308350000.00,Start
532,4308392500.00,Stop
533,4308415000.00,Start
534,4308457500.00,Stop
535,4308480000.00,Start
536,4308525000.00,Stop
537,4308547500.00,Start
538,4308590000.00,Stop
539,4308612500.00,Start
540,4308655000.00,Stop
541,4308677500.00,Start
542,4308722500.00,Stop
543,4308745000.00,Start
544,4308787500.00,Stop
545,4308810000.00,Start
546,4308855000.00,Stop
547,4308877500.00,Start
548,4308920000.00,Stop
549,4308942500.00,Start
550,4308985000.00,Stop
551,4309010000.00,Start
552,4309052500.00,Stop
553,4309075000.00,Start
554,4309117500.00,Stop
555,4309140000.00,Start
556,4309185000.00,Stop
557,4309207500.00,Start
558,4309250000.00,Stop
559,4309275000.00,Start
560,4309325000.00,Address write: A0
561,4309562500.00,Write
562,4309600000.00,ACK
563,4309635000.00,Data write: 10
564,4309907500.00,ACK
565,4309940000.00,Start repeat
566,4309985000.00,Address read: A1
567,4310222500.00,Read
568,4310255000.00,ACK
569,4310295000.00,Data read: 00
570,4310492500.00,ACK
571,4310530000.00,Data read: 76
572,4310725000.00,ACK
573,4310760000.00,Data read: 02
574,4310955000.00,ACK
575,4310987500.00,Data read: 51
576,4311182500.00,ACK
577,4311217500.00,Data read: 00
578,4311410000.00,ACK
579,4311445000.00,Data read: 6F
580,4311640000.00,ACK
581,4311672500.00,Data read: 40
582,4311867500.00,ACK
583,4311902500.00,Data read: 00
584,4312097500.00,ACK
585,4312130000.00,Data read: 00
586,4312325000.00,ACK
587,4312360000.00,Data read: 00
588,4312552500.00,ACK
589,4312587500.00,Data read: 2C
590,4312780000.00,ACK
591,4312815000.00,Data read: 38
592,4313010000.00,ACK
593,4313042500.00,Data read: 00
594,4313237500.00,ACK
595,4313272500.00,Data read: 00
596,4313467500.00,ACK
597,4313500000.00,Data read: 00
598,4313695000.00,ACK
599,4313727500.00,Data read: 00
600,4313922500.00,ACK
601,4313957500.00,Data read: 00
602,4314152500.00,ACK
603,4314185000.00,Data read: 00
604,4314380000.00,ACK
605,4314415000.00,Data read: 00
606,4314607500.00,ACK
607,4314642500.00,Data read: 00
608,4314837500.00,ACK
609,4314870000.00,Data read: 00
610,4315065000.00,ACK
611,4315100000.00,Data read: 00
612,4315292500.00,ACK
613,4315327500.00,Data read: 00
614,4315522500.00,ACK
615,4315555000.00,Data read: 00
616,4315750000.00,ACK
617,4315782500.00,Data read: 00
618,4315977500.00,ACK
619,4316012500.00,Data read: 00
620,4316207500.00,ACK
621,4316240000.00,Data read: 00
622,4316435000.00,ACK
623,4316470000.00,Data read: 00
624,4316662500.00,ACK
625,4316697500.00,Data read: 10
626,4316892500.00,ACK
627,4316925000.00,Data read: 00
628,4317120000.00,ACK
629,4317155000.00,Data read: 00
630,4317350000.00,ACK
631,4317382500.00,Data read: 00
632,4317577500.00,ACK
633,4317610000.00,Data read: 00
634,4317805000.00,ACK
635,4317840000.00,Data read: 00
636,4318032500.00,ACK
637,4318067500.00,Data read: 00
638,4318262500.00,ACK
639,4318295000.00,Data read: 00
640,4318490000.00,ACK
641,4318525000.00,Data read: 00
642,4318717500.00,ACK
643,4318752500.00,Data read: 00
644,4318947500.00,ACK
645,4318980000.00,Data read: 00
646,4319175000.00,ACK
647,4319210000.00,Data read: 00
648,4319405000.00,ACK
649,4319437500.00,Data read: 00
650,4319632500.00,ACK
651,4319667500.00,Data read: 00
652,4319860000.00,ACK
653,4319895000.00,Data read: 00
654,4320090000.00,ACK
655,4320122500.00,Data read: 00
656,4320317500.00,ACK
657,4320350000.00,Data read: 00
658,4320545000.00,ACK
659,4320580000.00,Data read: 00
660,4320775000.00,ACK
661,4320807500.00,Data read: EA
662,4321002500.00,ACK
663,4321035000.00,Data read: F0
664,4321230000.00,ACK
665,4321265000.00,Data read: 00
666,4321460000.00,ACK
667,4321492500.00,Data read: FE
668,4321687500.00,ACK
669,4321722500.00,Data read: 00
670,4321915000.00,ACK
671,4321950000.00,Data read: EB
672,4322145000.00,ACK
673,4322177500.00,Data read: 00
674,4322372500.00,ACK
675,4322407500.00,Data read: 08
676,4322602500.00,ACK
677,4322635000.00,Data read: 00
678,4322830000.00,ACK
679,4322862500.00,Data read: 00
680,4323057500.00,ACK
681,4323092500.00,Data read: 00
682,4323285000.00,ACK
683,4323320000.00,Data read: 00
684,4323515000.00,ACK
685,4323547500.00,Data read: 10
686,4323742500.00,ACK
687,4323777500.00,Data read: 54
688,4323972500.00,ACK
689,4324005000.00,Data read: 20
690,4324200000.00,ACK
691,4324232500.00,Data read: 08
692,4324427500.00,ACK
693,4324462500.00,Data read: 0A
694,4324657500.00,ACK
695,4324690000.00,Data read: 2C
696,4324885000.00,ACK
697,4324920000.00,Data read: 90
698,4325112500.00,ACK
699,4325147500.00,Data read: 02
700,4325342500.00,ACK
701,4325375000.00,Data read: 00
702,4325570000.00,ACK
703,4325602500.00,Data read: 00
704,4325797500.00,ACK
705,4325832500.00,Data read: 00
706,4326027500.00,ACK
707,4326060000.00,Data read: 00
708,4326255000.00,ACK
709,4326287500.00,Data read: 00
710,4326482500.00,ACK
711,4326517500.00,Data read: 00
712,4326712500.00,ACK
713,4326745000.00,Data read: 00
714,4326940000.00,ACK
715,4326975000.00,Data read: 00
716,4327170000.00,ACK
717,4327202500.00,Data read: 00
718,4327397500.00,ACK
719,4327430000.00,Data read: 00
720,4327625000.00,ACK
721,4327660000.00,Data read: 03
722,4327852500.00,ACK
723,4327887500.00,Data read: 00
724,4328082500.00,ACK
725,4328115000.00,Data read: 00
726,4328310000.00,ACK
727,4328345000.00,Data read: 00
728,4328537500.00,ACK
729,4328572500.00,Data read: 00
730,4328767500.00,ACK
731,4328800000.00,Data read: 00
732,4328995000.00,ACK
733,4329030000.00,Data read: 00
734,4329222500.00,ACK
735,4329257500.00,Data read: 00
736,4329452500.00,ACK
737,4329485000.00,Data read: 00
738,4329680000.00,ACK
739,4329715000.00,Data read: 00
740,4329910000.00,ACK
741,4329942500.00,Data read: 00
742,4330137500.00,ACK
743,4330172500.00,Data read: 00
744,4330365000.00,ACK
745,4330400000.00,Data read: 00
746,4330592500.00,ACK
747,4330627500.00,Data read: 00
