Id,Time[ns],Parallel: Items
354,549900.00,03
355,550100.00,03
356,550740.00,03
357,550940.00,03
358,551580.00,03
359,551780.00,03
360,552420.00,03
361,552620.00,03
362,553260.00,03
363,553460.00,03
364,554120.00,03
365,554320.00,03
366,554980.00,03
367,555180.00,03
368,555840.00,03
369,556040.00,03
370,556660.00,03
371,556860.00,03
372,557500.00,03
373,557700.00,03
374,558340.00,03
375,558540.00,03
376,559180.00,03
377,559380.00,03
378,560040.00,03
379,560240.00,03
380,560900.00,03
381,561100.00,03
382,561760.00,03
383,561960.00,03
384,562620.00,03
385,562820.00,03
386,563460.00,03
387,563660.00,03
388,564300.00,03
389,564500.00,03
390,565140.00,03
391,565340.00,03
392,565980.00,03
393,566180.00,03
394,566840.00,03
395,567040.00,03
396,567700.00,03
397,567900.00,03
398,568560.00,03
399,568760.00,03
400,569380.00,03
401,569580.00,03
402,570220.00,03
403,570420.00,03
404,571060.00,03
405,571260.00,03
406,571900.00,03
407,572100.00,03
408,572760.00,03
409,572960.00,03
410,573620.00,03
411,573820.00,03
412,574480.00,03
413,574680.00,03
414,575340.00,03
415,575540.00,03
416,576180.00,03
417,576380.00,03
418,577020.00,03
419,577220.00,03
420,577860.00,03
421,578060.00,03
422,578700.00,03
423,578900.00,03
424,579560.00,03
425,579760.00,03
426,580420.00,03
427,580620.00,03
428,581280.00,03
429,581480.00,03
430,582100.00,03
431,582300.00,03
432,582940.00,03
433,583140.00,03
434,583780.00,03
435,583980.00,03
436,584620.00,03
437,584820.00,03
438,585480.00,03
439,585680.00,03
440,586340.00,03
441,586540.00,03
442,587200.00,03
443,587400.00,03
444,588060.00,03
445,588260.00,03
446,588900.00,03
447,589100.00,03
448,589740.00,03
449,589940.00,03
450,590580.00,03
451,590780.00,03
452,591420.00,03
453,591620.00,03
454,592280.00,03
455,592480.00,03
456,593140.00,03
457,593340.00,03
458,594000.00,03
459,594200.00,03
460,594820.00,03
461,595020.00,03
462,595660.00,03
463,595860.00,03
464,596500.00,03
465,596700.00,03
466,597340.00,03
467,597540.00,03
468,598200.00,03
469,598400.00,03
470,599060.00,03
471,599260.00,03
472,599920.00,03
473,600120.00,03
474,600780.00,03
475,600980.00,03
476,601620.00,03
477,601820.00,03
478,602460.00,03
479,602660.00,03
480,603300.00,03
481,603500.00,03
482,604140.00,03
483,604340.00,03
484,605000.00,03
485,605200.00,03
486,605860.00,03
487,606060.00,03
488,606720.00,03
489,606920.00,03
490,607540.00,03
491,607740.00,03
492,608380.00,03
493,608580.00,03
494,609220.00,03
495,609420.00,03
496,610060.00,03
497,610260.00,03
498,610920.00,03
499,611120.00,03
500,611780.00,03
501,611980.00,03
502,612640.00,03
503,612840.00,03
504,613500.00,03
505,613700.00,03
506,614340.00,03
507,614540.00,03
508,615180.00,03
509,615380.00,03
510,616020.00,03
511,616220.00,03
512,616860.00,03
513,617060.00,03
514,617860.00,03
