Id,Time[ns],Parallel: Items
249,703186650.00,C0001003
250,703187150.00,C0001003
251,703188750.00,C0001003
252,703189250.00,C0001003
253,703190800.00,C0001003
254,703191300.00,C0001003
255,703192900.00,C0001003
256,703193400.00,C0001003
257,703195000.00,C0001003
258,703195500.00,C0001003
259,703197100.00,C0001003
260,703197600.00,C0001003
261,703199150.00,C0001003
262,703199650.00,C0001003
263,703201250.00,C0001003
264,703201750.00,C0001003
265,703203350.00,C0001003
266,703203850.00,C0001003
267,703205450.00,C0001003
268,703205950.00,C0001003
269,703207550.00,C0001003
270,703208050.00,C0001003
271,703209650.00,C0001003
272,703210150.00,C0001003
273,703211750.00,C0001003
274,703212250.00,C0001003
275,703213850.00,C0001003
276,703214350.00,C0001003
277,703215950.00,C0001003
278,703216450.00,C0001003
279,703218050.00,C0001003
280,703218550.00,C0001003
281,703220150.00,C0001003
282,703220650.00,C0001003
283,703222200.00,C0001003
284,703222700.00,C0001003
285,703224300.00,C0001003
286,703224800.00,C0001003
287,703226400.00,C0001003
288,703226900.00,C0001003
289,703228500.00,C0001003
290,703229000.00,C0001003
291,703230550.00,C0001003
292,703231050.00,C0001003
293,703232650.00,C0001003
294,703233150.00,C0001003
295,703234750.00,C0001003
296,703235250.00,C0001003
297,703236850.00,C0001003
298,703237350.00,C0001003
299,703238950.00,C0001003
300,703239450.00,C0001003
301,703241050.00,C0001003
302,703241550.00,C0001003
303,703243150.00,C0001003
304,703243650.00,C0001003
305,703245250.00,C0001003
306,703245750.00,C0001003
307,703247350.00,C0001003
308,703247850.00,C0001003
309,703249450.00,C0001003
310,703249950.00,C0001003
311,703251550.00,C0001003
312,703252050.00,C0001003
313,703253600.00,C0001003
314,703254100.00,C0001003
315,703255700.00,C0001003
316,703256200.00,C0001003
317,703257800.00,C0001003
318,703258300.00,C0001003
319,703259900.00,C0001003
320,703260400.00,C0001003
321,703261950.00,C0001003
322,703262450.00,C0001003
323,703264050.00,C0001003
324,703264550.00,C0001003
325,703266150.00,C0001003
326,703266650.00,C0001003
327,703268250.00,C0001003
328,703268750.00,C0001003
329,703270350.00,C0001003
330,703270850.00,C0001003
331,703272450.00,C0001003
332,703272950.00,C0001003
333,703274550.00,C0001003
334,703275050.00,C0001003
335,703276650.00,C0001003
336,703277150.00,C0001003
337,703278750.00,C0001003
